dataset_name,path_type,acceleration_type,path_direction,path_number,sample_rate,ph,prediction_model,speed_avg,average_error,average_error_normal
DL_C_A_BRTL_2,DL_C,A,BRTL,2,10hz,1,CTRV,False,16.027858709696325,1.0209749750237909
DL_C_F_BRTL_1,DL_C,F,BRTL,1,full,1,CTRV,False,8.331734653353877,1.312017974943773
DL_C_F_BRTL_1,DL_C,F,BRTL,1,2.5hz,1,CTRV,False,18.73711929442703,0.35950898615520344
DL_C_F_BRTL_1,DL_C,F,BRTL,1,10hz,1,CTRV,False,16.19731828127946,1.1478473544797576
DL_C_F_TLBR_6,DL_C,F,TLBR,6,full,1,CTRV,False,6.6663183851351775,1.6689665819685686
DL_C_F_TLBR_6,DL_C,F,TLBR,6,2.5hz,1,CTRV,False,15.057295070544988,0.34575272327019124
DL_C_F_TLBR_6,DL_C,F,TLBR,6,10hz,1,CTRV,False,15.315653642069284,1.8595593091841296
DL_C_F_BRTL_2,DL_C,F,BRTL,2,full,1,CTRV,False,15.354164606632319,2.214426639400351
DL_C_F_BRTL_2,DL_C,F,BRTL,2,2.5hz,1,CTRV,False,12.964096892808177,0.18889353521527547
DL_C_F_BRTL_2,DL_C,F,BRTL,2,10hz,1,CTRV,False,19.692277250635414,3.328943553855928
DL_C_A_TLBR_3,DL_C,A,TLBR,3,full,1,CTRV,False,5.92267539710866,1.1958154588556593
DL_C_A_TLBR_3,DL_C,A,TLBR,3,2.5hz,1,CTRV,False,21.786442007267507,0.394348379050619
DL_C_A_TLBR_3,DL_C,A,TLBR,3,10hz,1,CTRV,False,14.922974946347306,1.0834431382526881
DL_C_A_TLBR_1,DL_C,A,TLBR,1,full,1,CTRV,False,7.8708803821352875,1.489104353997677
DL_C_A_TLBR_1,DL_C,A,TLBR,1,2.5hz,1,CTRV,False,23.398806123517918,0.4083126927832422
DL_C_A_TLBR_1,DL_C,A,TLBR,1,10hz,1,CTRV,False,18.18345458876398,1.9571585139988612
DL_C_F_TLBR_2,DL_C,F,TLBR,2,full,1,CTRV,False,9.611777835435618,1.8602433437603414
DL_C_F_TLBR_2,DL_C,F,TLBR,2,2.5hz,1,CTRV,False,13.417281377767198,0.21881164483395246
DL_C_F_TLBR_2,DL_C,F,TLBR,2,10hz,1,CTRV,False,22.146910545178415,2.597086794816382
DL_C_F_TLBR_4,DL_C,F,TLBR,4,full,1,CTRV,False,5.889336519632051,1.6033170770354797
DL_C_F_TLBR_4,DL_C,F,TLBR,4,2.5hz,1,CTRV,False,21.247736498074563,0.592567907380687
DL_C_F_TLBR_4,DL_C,F,TLBR,4,10hz,1,CTRV,False,10.707333514608193,1.5323120736477625
DL_C_A_TLBR_2,DL_C,A,TLBR,2,full,1,CTRV,False,7.814758169684888,1.1605104358617193
DL_C_A_TLBR_2,DL_C,A,TLBR,2,2.5hz,1,CTRV,False,46.58826255352496,0.480669834478851
DL_C_A_TLBR_2,DL_C,A,TLBR,2,10hz,1,CTRV,False,13.168060142734578,0.7388454373417034
DL_C_A_BRTL_1,DL_C,A,BRTL,1,full,1,CTRV,False,9.06386095691791,1.1735765440776664
DL_C_A_BRTL_1,DL_C,A,BRTL,1,2.5hz,1,CTRV,False,36.8548577160275,0.3489002006422674
DL_C_A_BRTL_1,DL_C,A,BRTL,1,10hz,1,CTRV,False,21.745708521109567,1.456682739665421
DL_C_A_BRTL_3,DL_C,A,BRTL,3,full,1,CTRV,False,6.703623380849141,1.3091111762603207
DL_C_A_BRTL_3,DL_C,A,BRTL,3,2.5hz,1,CTRV,False,30.075925292896653,0.37153726668885345
DL_C_A_BRTL_3,DL_C,A,BRTL,3,10hz,1,CTRV,False,13.136953031795318,0.8222479423016388
DL_C_F_BRTL_6,DL_C,F,BRTL,6,full,1,CTRV,False,5.093978818862735,1.6536065975819558
